10/06/2022 09:00,Uppingham,Jonathan Richards,"Regular Speciality Tea - Peppermint - 1.30, Regular Smoothies - Berry Beautiful - 2.00, Large Flavoured latte - Caramel - 2.85",6.15,CARD,5173579935058386
10/06/2022 09:01,Uppingham,Ralph Saucedo,"Large Flavoured latte - Caramel - 2.85, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Caramel - 2.85, Regular Speciality Tea - Peppermint - 1.30",9.85,CARD,2450027788791294
10/06/2022 09:02,Uppingham,Bethany Allen,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Mocha - 2.70",5.6,CARD,8636986398740151
10/06/2022 09:03,Uppingham,Gerald Mcadams,"Large Flavoured latte - Caramel - 2.85, Large Red Label tea - 1.80, Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Peppermint - 1.60",7.55,CARD,6880061619872753
10/06/2022 09:04,Uppingham,Dorothy Pinner,"Regular Red Label tea - 1.20, Large Mocha - 2.70, Large Flavoured latte - Caramel - 2.85",6.75,CARD,6578394091609887
10/06/2022 09:05,Uppingham,Lisa Lambert,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90",8.4,CARD,1859377725875035
10/06/2022 09:06,Uppingham,Jesse Wright,"Regular Flavoured latte - Caramel - 2.55, Large Flavoured latte - Caramel - 2.85",5.4,CASH,
10/06/2022 09:07,Uppingham,Hilaria Bowen,Large Cortado - 2.35,2.35,CASH,
10/06/2022 09:08,Uppingham,Michele Hinze,"Regular Smoothies - Berry Beautiful - 2.00, Large Smoothies - Berry Beautiful - 2.50",4.5,CARD,7201819608097606
10/06/2022 09:09,Uppingham,Cynthia Ferrer,Large Cortado - 2.35,2.35,CARD,6000023324549101
10/06/2022 09:10,Uppingham,Brent Martin,Large Mocha - 2.70,2.7,CARD,9859852626375337
10/06/2022 09:11,Uppingham,Maria Summers,"Large Hot chocolate - 2.90, Large Flavoured latte - Caramel - 2.85",5.75,CARD,6414459177662478
