11/06/2022 09:00,Chesterfield,Brittany Scheidecker,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Latte - 2.15, Large Flavoured iced latte - Hazelnut - 3.25",8.65,CARD,7665812986661537
11/06/2022 09:02,Chesterfield,Edwin Thigpen,"Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Caramel - 3.25",6.0,CARD,7114086192365148
11/06/2022 09:04,Chesterfield,Gerald Jackson,"Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured iced latte - Caramel - 3.25, Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Vanilla - 3.25",14.65,CASH,
11/06/2022 09:06,Chesterfield,Anthony Zwiebel,"Regular Flat white - 2.15, Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Caramel - 2.75",10.7,CARD,9367245157742034
11/06/2022 09:08,Chesterfield,Willie Catron,"Large Flavoured iced latte - Vanilla - 3.25, Large Flat white - 2.45, Large Latte - 2.45",8.15,CARD,2372604165734495
11/06/2022 09:10,Chesterfield,Eric Singleton,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,1143807681412976
11/06/2022 09:12,Chesterfield,David Leach,"Large Latte - 2.45, Large Flavoured iced latte - Hazelnut - 3.25",5.7,CARD,8134434283663639
11/06/2022 09:14,Chesterfield,Harold Bruning,"Large Flat white - 2.45, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Hazelnut - 2.85",8.05,CARD,9635601797098315
11/06/2022 09:17,Chesterfield,Vincent Warren,"Regular Flavoured iced latte - Caramel - 2.75, Regular Latte - 2.15",4.9,CARD,2059896045675177
11/06/2022 09:19,Chesterfield,Crystal Burmside,"Regular Flat white - 2.15, Large Flat white - 2.45, Regular Latte - 2.15, Regular Flavoured latte - Hazelnut - 2.55",9.3,CARD,4234896927813050
11/06/2022 09:21,Chesterfield,Dana Wolf,"Large Flavoured iced latte - Hazelnut - 3.25, Large Latte - 2.45, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75",11.7,CARD,4821827527030331
11/06/2022 09:23,Chesterfield,Bradley Monreal,"Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Regular Flat white - 2.15, Large Flavoured latte - Hazelnut - 2.85",10.3,CARD,1010094508846892
11/06/2022 09:25,Chesterfield,Georgia Ambrosino,"Large Latte - 2.45, Large Latte - 2.45, Large Latte - 2.45, Regular Latte - 2.15",9.5,CASH,
11/06/2022 09:27,Chesterfield,Shawn Takahashi,"Large Flavoured latte - Hazelnut - 2.85, Large Flavoured iced latte - Vanilla - 3.25, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured iced latte - Caramel - 3.25",15.35,CASH,
11/06/2022 09:29,Chesterfield,Phillip Carlino,Large Latte - 2.45,2.45,CASH,
11/06/2022 09:32,Chesterfield,Earl Martin,"Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Vanilla - 2.75, Large Latte - 2.45",8.45,CASH,
11/06/2022 09:34,Chesterfield,Elisa Easter,"Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Caramel - 2.75",5.5,CARD,1437636746926777
11/06/2022 09:36,Chesterfield,Andrew Klassen,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Latte - 2.15, Regular Flavoured iced latte - Vanilla - 2.75",7.65,CARD,6052753912468455
11/06/2022 09:38,Chesterfield,Joann Jimenez,"Regular Latte - 2.15, Large Flavoured iced latte - Caramel - 3.25",5.4,CARD,6707378563427601
11/06/2022 09:40,Chesterfield,Jared Long,"Large Flavoured iced latte - Caramel - 3.25, Large Flavoured latte - Hazelnut - 2.85",6.1,CASH,
